,YEAR-MONTH,RAINFALL
869,1977-10-01,6.6
870,1977-11-01,0.4
871,1977-12-01,21.1
872,1978-01-01,4.1
873,1978-02-01,30.0
874,1978-03-01,65.1
875,1978-04-01,2.8
876,1978-05-01,1.9
877,1978-06-01,99.2
878,1978-07-01,229.4
879,1978-08-01,231.6
880,1978-09-01,45.7
881,1978-10-01,2.3
882,1978-11-01,8.1
883,1978-12-01,0.5
884,1979-01-01,25.9
885,1979-02-01,71.9
886,1979-03-01,45.7
887,1979-04-01,6.8
888,1979-05-01,22.2
889,1979-06-01,37.3
890,1979-07-01,147.5
891,1979-08-01,46.6
892,1979-09-01,45.1
893,1979-10-01,2.0
894,1979-11-01,7.8
895,1979-12-01,5.1
896,1980-01-01,19.4
897,1980-02-01,12.4
898,1980-03-01,24.3
899,1980-04-01,3.7
900,1980-05-01,1.4
901,1980-06-01,53.5
902,1980-07-01,316.7
903,1980-08-01,122.2
904,1980-09-01,39.1
905,1980-10-01,11.6
906,1980-11-01,16.2
907,1980-12-01,41.2
908,1981-01-01,48.1
909,1981-02-01,20.6
910,1981-03-01,53.8
911,1981-04-01,2.2
912,1981-05-01,9.6
913,1981-06-01,21.7
914,1981-07-01,215.5
915,1981-08-01,58.3
916,1981-09-01,23.0
917,1981-10-01,0.3
918,1981-11-01,50.7
919,1982-01-01,35.8
920,1982-02-01,27.7
921,1982-03-01,87.5
922,1982-04-01,49.9
923,1982-05-01,57.2
924,1982-06-01,17.0
925,1982-07-01,83.5
926,1982-08-01,172.7
927,1982-09-01,3.7
928,1982-10-01,4.0
929,1982-11-01,9.8
930,1982-12-01,22.6
931,1983-01-01,65.3
932,1983-02-01,26.7
933,1983-03-01,27.4
934,1983-04-01,113.2
935,1983-05-01,48.2
936,1983-06-01,26.6
937,1983-07-01,151.9
938,1983-08-01,208.1
939,1983-09-01,69.7
940,1983-10-01,12.2
941,1983-12-01,1.7
942,1984-01-01,2.4
943,1984-02-01,67.2
944,1984-03-01,13.9
945,1984-04-01,9.3
946,1984-05-01,1.3
947,1984-06-01,50.2
948,1984-07-01,220.2
949,1984-08-01,214.5
950,1984-09-01,125.7
951,1984-10-01,0.2
952,1984-11-01,0.6
953,1984-12-01,4.9
954,1985-01-01,4.8
955,1985-02-01,0.9
956,1985-03-01,3.6
957,1985-04-01,21.2
958,1985-05-01,6.2
959,1985-06-01,55.7
960,1985-07-01,269.5
961,1985-08-01,243.3
962,1985-09-01,51.9
963,1985-10-01,50.2
964,1985-11-01,0.6
965,1985-12-01,45.1
966,1986-01-01,0.7
967,1986-02-01,42.1
968,1986-03-01,24.6
969,1986-04-01,18.9
970,1986-05-01,32.3
971,1986-06-01,92.2
972,1986-07-01,156.4
973,1986-08-01,153.0
974,1986-09-01,55.1
975,1986-10-01,16.0
976,1986-11-01,9.5
977,1986-12-01,11.2
978,1987-01-01,23.1
979,1987-02-01,30.8
980,1987-03-01,23.3
981,1987-04-01,14.9
982,1987-05-01,98.3
983,1987-06-01,44.7
984,1987-07-01,44.1
985,1987-08-01,82.2
986,1987-09-01,10.5
987,1987-10-01,34.1
988,1987-11-01,0.2
989,1987-12-01,3.3
990,1988-01-01,5.0
991,1988-02-01,22.5
992,1988-03-01,86.4
993,1988-04-01,3.3
994,1988-05-01,3.6
995,1988-06-01,42.7
996,1988-07-01,356.1
997,1988-08-01,234.3
998,1988-09-01,434.1
999,1988-10-01,0.4
1000,1988-11-01,0.7
1001,1988-12-01,33.5
1002,1989-01-01,45.7
1003,1989-02-01,4.1
1004,1989-03-01,17.6
1005,1989-04-01,1.7
1006,1989-05-01,4.9
1007,1989-06-01,39.6
1008,1989-07-01,164.1
1009,1989-08-01,151.9
1010,1989-09-01,20.7
1011,1989-10-01,0.3
1012,1989-11-01,8.0
1013,1989-12-01,21.8
1014,1990-01-01,1.9
1015,1990-02-01,57.7
1016,1990-03-01,32.7
1017,1990-04-01,4.2
1018,1990-05-01,13.8
1019,1990-06-01,18.6
1020,1990-07-01,200.3
1021,1990-08-01,188.8
1022,1990-09-01,194.4
1023,1990-10-01,0.6
1024,1990-11-01,5.6
1025,1990-12-01,36.1
1026,1991-01-01,0.1
1027,1991-02-01,39.8
1028,1991-03-01,16.0
1029,1991-04-01,34.8
1030,1991-05-01,10.8
1031,1991-06-01,73.5
1032,1991-07-01,86.8
1033,1991-08-01,144.3
1034,1991-09-01,41.7
1035,1991-10-01,1.0
1036,1991-11-01,0.2
1037,1991-12-01,26.8
1038,1992-01-01,38.8
1039,1992-02-01,34.2
1040,1992-03-01,11.9
1041,1992-04-01,2.2
1042,1992-05-01,8.6
1043,1992-06-01,24.7
1044,1992-07-01,144.5
1045,1992-08-01,146.5
1046,1992-09-01,50.0
1047,1992-10-01,3.2
1048,1992-11-01,13.0
1049,1992-12-01,0.5
1050,1993-01-01,8.5
1051,1993-02-01,12.7
1052,1993-03-01,29.5
1053,1993-04-01,9.4
1054,1993-05-01,13.3
1055,1993-06-01,38.7
1056,1993-07-01,352.6
1057,1993-08-01,17.4
1058,1993-09-01,98.4
1059,1993-10-01,0.3
1060,1993-11-01,2.1
1061,1994-01-01,27.6
1062,1994-02-01,23.3
