,Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
152,cowl-neck-chiffon-maxi-dress,Cowl Neck Chiffon Maxi Dress,Style Size,XS,,,,,ZZ09764-XS,,,Shop location,0,0,0,1,1
153,cowl-neck-chiffon-maxi-dress,Cowl Neck Chiffon Maxi Dress,Style Size,S,,,,,ZZ09764-S,,,Shop location,0,0,0,2,2
154,cowl-neck-chiffon-maxi-dress,Cowl Neck Chiffon Maxi Dress,Style Size,M,,,,,ZZ09764-M,,,Shop location,0,0,1,3,4
155,cowl-neck-chiffon-maxi-dress,Cowl Neck Chiffon Maxi Dress,Style Size,L,,,,,ZZ09764-L,,,Shop location,0,0,0,4,4
156,cowl-neck-chiffon-maxi-dress,Cowl Neck Chiffon Maxi Dress,Style Size,XL,,,,,ZZ09764-XL,,,Shop location,0,0,0,3,3
157,cowl-neck-chiffon-maxi-dress,Cowl Neck Chiffon Maxi Dress,Style Size,XXL,,,,,ZZ09764-XXL,,,Shop location,0,0,0,1,1
158,cowl-neck-flowy-chiffon-dress,Cowl Neck Flowy Chiffon Dress,Style Size,XS,,,,,ZZ09692-XS,,,Shop location,0,0,0,1,1
159,cowl-neck-flowy-chiffon-dress,Cowl Neck Flowy Chiffon Dress,Style Size,S,,,,,ZZ09692-S,,,Shop location,0,0,0,1,1
160,cowl-neck-flowy-chiffon-dress,Cowl Neck Flowy Chiffon Dress,Style Size,M,,,,,ZZ09692-M,,,Shop location,0,0,0,3,3
161,cowl-neck-flowy-chiffon-dress,Cowl Neck Flowy Chiffon Dress,Style Size,L,,,,,ZZ09692-L,,,Shop location,0,0,1,3,4
162,cowl-neck-flowy-chiffon-dress,Cowl Neck Flowy Chiffon Dress,Style Size,XL,,,,,ZZ09692-XL,,,Shop location,0,0,0,2,2
163,cowl-neck-flowy-chiffon-dress,Cowl Neck Flowy Chiffon Dress,Style Size,XXL,,,,,ZZ09692-XXL,,,Shop location,0,0,0,1,1
164,elegant-swing-waistline-statement-dress,Elegant Swing Waistline Statement Dress,Style Size,XS,,,,,ZZ09698-XS,,,Shop location,0,0,0,4,4
165,elegant-swing-waistline-statement-dress,Elegant Swing Waistline Statement Dress,Style Size,S,,,,,ZZ09698-S,,,Shop location,0,0,0,7,7
166,elegant-swing-waistline-statement-dress,Elegant Swing Waistline Statement Dress,Style Size,M,,,,,ZZ09698-M,,,Shop location,0,0,0,6,6
167,elegant-swing-waistline-statement-dress,Elegant Swing Waistline Statement Dress,Style Size,L,,,,,ZZ09698-L,,,Shop location,0,0,0,7,7
168,elegant-swing-waistline-statement-dress,Elegant Swing Waistline Statement Dress,Style Size,XL,,,,,ZZ09698-XL,,,Shop location,0,0,0,2,2
169,elegant-swing-waistline-statement-dress,Elegant Swing Waistline Statement Dress,Style Size,XXL,,,,,ZZ09698-XXL,,,Shop location,0,0,0,2,2
170,floral-flared-sleeve-chiffon-printed-dress,Floral Flared Sleeve Chiffon Printed Dress,Style Size,XS,,,,,ZZ09767-XS,,,Shop location,0,0,0,1,1
171,floral-flared-sleeve-chiffon-printed-dress,Floral Flared Sleeve Chiffon Printed Dress,Style Size,S,,,,,ZZ09767-S,,,Shop location,0,0,2,4,6
